name,full_address,postcode,council,town
Llantwit Major & the Glamorgan Heritage Coast,Llantwit Major,CF61,Vale of Glamorgan,Llantwit Major
Penarth,Penarth,CF64,Vale of Glamorgan,Penarth
"CF40 2QF, Clwb Coffi, Dunraven Street, Tonypandy","Tonypandy, CF40 2QF, Clwb Coffi, Dunraven Street,",CF40 2QF,Rhondda Cynon Taf,Tonypandy
"Church Road, The Phoenix, Ton Pentre CF41 7EH","Church Road, The Phoenix, Ton Pentre CF41 7EH",CF41 7EH,Rhondda Cynon Taf,Tonypandy
Cowbridge,"Cowbridge, CF71 7DD",CF71 7DD,Vale of Glamorgan,Cowbridge
"Penllyn Estate Farm, Llwynhelig, Cowbridge, Cf71 7FF","Penllyn Estate Farm, Llwynhelig, Cowbridge, Cf71 7FF, CF71 7FF",CF71 7FF,Vale of Glamorgan,Cowbridge
"Capel Hermon, Regent Street, Treorci","Capel Hermon, Regent Street, Treorchy, CF42 6PN",CF42 6PN,Rhondda Cynon Taf,Treorchy
"Treorchy, Ystradfechan Cricket Pitch","Treorchy, Ystradfechan Cricket Pitch, CF42 6AB",CF42 6AB,Rhondda Cynon Taf,Treorchy
"The Lion, The Lion's Den, Treorchy","The Lion, The Lion's Den, Treorchy, CF42 6AH",CF42 6AH,Rhondda Cynon Taf,Tonypandy
"Dyffryn Gardens, St Nicholas, CF5 6SU","Dyffryn Gardens, St Nicholas, CF5 6SU",CF5 6SU,Vale of Glamorgan,St. Nicholas
"Wales Millenium Centre, Bute Place, Cardiff, CF10 5AL","Wales Millenium Centre, Bute Place, Cardiff, CF10 5AL",CF10 5AL,Cardiff,Cardiff
Dare Valley Country Park,"Dare Valley Country Park, CF44 7RG",CF44 7RG,Rhondda Cynon Taf,Aberdare
Pentre Ifan Burial Chamber,"Pentre Ifan Burial Chamber, SA41 3TZ",SA41 3TZ,Pembrokeshire,Pentre Ifan
Castell y Bere,"Castell y Bere, LL36 9YS",LL36 9YS,Gwynedd,Llanfihangel-y-pennant 
Din Lligwy Hut Group,"Din Lligwy Hut Group, LL72 8NH",LL72 8NH,Isle of Anglesey,Din Lligwy
"Aberdare, Cannon Street","Aberdare, Cannon Street, CF44 7AP",CF44 7AP,Rhondda Cynon Taf,Aberdare
"Penllyn, Cowbridge, CF71 7RQ","Penllyn, Cowbridge, CF71 7RQ",CF71 7RQ,Vale of Glamorgan,Penllyn
"Victoria Park, Barry, CF63 2JS","Victoria Park, Barry, CF63 2JS",CF63 2JS,Vale of Glamorgan,Barry
"King Square, Holton Road, Barry, CF63 4RW","King Square, Holton Road, Barry, CF63 4RW",CF63 4RW,Vale of Glamorgan,Barry
"Barry Island Promenade, Vale of Glamorgan, CF62 5BQ","Barry Island Promenade, Vale of Glamorgan, CF62 5BQ",CF62 5BQ,Vale of Glamorgan,Barry
"Barry Island, Vale of Glamorgan, CF62 5TJ","Barry Island, Vale of Glamorgan, CF62 5TJ",CF62 5TJ,Vale of Glamorgan,Barry
National Wool Museum                         Fully Booked,"National Wool Museum                         Fully Booked, SA44 5UP",SA44 5UP,Carmarthenshire,Waungilwen
"Glamorgan, CF64 5UP","Glamorgan, CF64 5UP",CF64 5UP,Vale of Glamorgan,Penarth
Penarth Town and Sea Front,"Penarth Town and Sea Front, CF64 1AB",CF64 1AB,Vale of Glamorgan,Penarth
"Penarth Town, Esplanade and Pier","Penarth Town, Esplanade and Pier, CF64 3AS",CF64 3AS,Vale of Glamorgan,Penarth
"Penarth Town, Esplanade and Pier, Penarth, Vale of Glamorgan","Penarth Town, Esplanade and Pier, Penarth, Vale of Glamorgan, CF64 3AU",CF64 3AU,Vale of Glamorgan,Penarth
"Vale of Glamorgan, Fonmon Castle, Fonmon, Barry, Vale of Glamorgan, CF62 3ZN","Vale of Glamorgan, Fonmon Castle, Fonmon, Barry, Vale of Glamorgan, CF62 3ZN",CF62 3ZN,Vale of Glamorgan,Fonmon
"Cardiff, Coedarhydyglyn Park, Near Culverhouse Cross, St. Nicholas, Cardiff","Cardiff, Coedarhydyglyn Park, Near Culverhouse Cross, St. Nicholas, Cardiff, CF5 6SF",CF5 6SF,Vale of Glamorgan,Cardiff
"Dyffryn Lane, St Nicholas, CF5 6SU","Dyffryn Lane, St Nicholas, CF5 6SU",CF5 6SU,Vale of Glamorgan,St. Nicholas
"Coco Cubanans, Barry","Coco Cubanans, Barry, CF62 7AF",CF62 7AF,Vale of Glamorgan,Barry
"Dyffryn House & Gardens, National Trust, Dyffryn, St Nicholas, CF5 6SU","Dyffryn House & Gardens, National Trust, Dyffryn, St Nicholas, CF5 6SU",CF5 6SU,Vale of Glamorgan,St. Nicholas
"Vale of Glamorgan, Penarth Pier Pavilion, The Esplanade, Penarth, Vale of Glamorgan, CF64 3AU","Vale of Glamorgan, Penarth Pier Pavilion, The Esplanade, Penarth, Vale of Glamorgan, CF64 3AU",CF64 3AU,Vale of Glamorgan,Cardiff
"Cowbridge, Forage Farm Shop, Penllyn Estate, Llwynhelig, Cowbridge, CF71 7FF","Cowbridge, Forage Farm Shop, Penllyn Estate, Llwynhelig, Cowbridge, CF71 7FF",CF71 7FF,Vale of Glamorgan,Cowbridge
"Vale of Glamorgan, Fonmon Castle, Fonmon, Barry, Vale of Glamorgan, CF623ZN","Vale of Glamorgan, Fonmon Castle, Fonmon, Barry, Vale of Glamorgan, CF623ZN, CF62 3ZN",CF62 3ZN,Vale of Glamorgan,Fonmon
"St Donat's Castle, Saint Donats, CF61 1WF","St Donat's Castle, Saint Donats, CF61 1WF",CF61 1WF,Vale of Glamorgan,St Donat's
"CF37 4TH, Llys Cadwyn, Pontypridd Library","CF37 4TH, Llys Cadwyn, Pontypridd Library",CF37 4TH,Rhondda Cynon Taf,Pontypridd
"Francis St, Thomastown, Thomastown Social Club. Kosy Hall, Tonyrefail. CF39 8DS","Francis St, Thomastown, Thomastown Social Club. Kosy Hall, Tonyrefail. CF39 8DS",CF39 8DS,Rhondda Cynon Taf,Tonyrefail
"Sausage Revolution, Atlantic Trading Estate, Barry, CF63 3RF","Sausage Revolution, Atlantic Trading Estate, Barry, CF63 3RF",CF63 3RF,Vale of Glamorgan,Barry
Big Pit National Coal Museum                         Fully Booked,"Big Pit National Coal Museum                         Fully Booked, NP4 9XP",NP4 9XP,Torfaen,Blaenavon
"St Donats Castle, St Donats, CF61 1WF","St Donats Castle, St Donats, CF61 1WF",CF61 1WF,Vale of Glamorgan,St Donat's
"St Donats Castle, St Donats","St Donats Castle, St Donats, CF61 1WF",CF61 1WF,Vale of Glamorgan,St Donat's
"Vale of Glamorgan, Cowbridge Town Hall, High Street, Cowbridge, Vale of Glamorgan, CF71 7DD","Vale of Glamorgan, Cowbridge Town Hall, High Street, Cowbridge, Vale of Glamorgan, CF71 7DD",CF71 7DD,Vale of Glamorgan,Cowbridge
"Penllyn Farm, What 3 Words: Perfect . Stoppage . Names","Penllyn Farm, What 3 Words: Perfect . Stoppage . Names, CF71 7RN",CF71 7RN,Vale of Glamorgan,Penllyn
"Barry, Art Central Gallery, Library, King Square, Barry, CF63 4RW","Barry, Art Central Gallery, Library, King Square, Barry, CF63 4RW",CF63 4RW,Vale of Glamorgan,Barry
"Greenland Farm, Bonvilston, Vale of Glamorgan","Greenland Farm, Bonvilston, Vale of Glamorgan, CF5 6TN",CF5 6TN,Vale of Glamorgan,Bonvilston
